doc_id,speech
1,"The next item is the debate on the report by Miriam Dalli, on behalf of the Committee on the Environment, Public Health and Food Safety, on the proposal for a regulation of the European Parliament and of the Council setting emission performance standards for new passenger cars and new light commercial vehicles as part of the Union's integrated approach to reduce CO2 emissions from light-duty vehicles, and amending Regulation (EC) No 715/2007 (recast) (COM (2017) 0676  C8-0395/2017  2017/0329 ((COD)) (A8-0287/2018)."
2,"Rapporteur. – Mr President, thank you, Commissioner Cañete, and all the shadow rapporteurs for the way we work together. I am proud to be standing here to defend the Committee on the Environment’s position on legislation that respects our climate targets, the environment, public health, industry and competitiveness. I am proud because together we realised that the way forward is to ensure the environmental integrity of the industry as a whole. We agreed that real driving emissions are a necessity, and that any emission values that the European Commission bases itself on have to be measured values and not simply values declared by the car manufacturers. We agreed that we have to move from measuring emissions at the tail pipe to analysing the whole life cycle of a vehicle. That, together with the well—to—wheels approach, can really promote cleaner technology and cleaner fuels. We agreed that investment in recharging infrastructure is to be promoted, and battery and battery cell manufacturing close to vehicle manufacturing sites should be supported. I am for more ambition than what the European Commission is proposing. I am for more ambition, because we have studies that clearly show that we need to take decisive action. More ambition will stimulate innovation and investment in the European Union. It will create jobs in the years to come, particularly if the European Union embarks on a long-term strategy that seriously attracts battery production investments to the European Union. This is confirmed by the European Commission itself. I did not want to speak about numbers, but I want to set the record straight. Let’s take a 40% CO2 reduction: we would be creating 69 000 jobs in the EU if we imported batteries from outside the European Union. If we had to produce batteries within the EU, we would be creating 92 000 jobs. With a 40% CO2 reduction, there would be 12 000 fewer jobs in the automotive sector over a period of 12 years until 2030. However, at the same time, in its blueprint for cooperation on skills and the automotive sector, the Commission is saying that there will be 900 000 employees, who will retire or leave the sector between 2017 and 2025. Because workers are a priority, we are proposing a gradual transition complemented by targeted programmes to ensure that no one is impacted negatively. An ambitious proposal is all about car manufacturers having the right incentive to invest and create quality jobs right here in the European Union. I ask two questions: why are car manufacturers investing seven times as much outside the European Union as they do within the European Union when it comes to cleaner cars? Why are car manufacturers, telling their workers’ councils that they cannot invest in battery production in the EU because of high salary costs, but then Chinese companies open battery production sites in the EU paying EU salaries. As far as I’m concerned, the answer is simple: there aren’t the right incentives for the industry to invest in cleaner cars. And we have a choice: we have a choice between attracting investment to the European Union or letting other continents take the lead, with all the disruptive effects that this will have on our industry, on our companies and our small producers, our environment and our cities. This is the time to act. This is the time to show that, for us, it is not a question of industry versus the environment, but an issue of making sure that we address both the environment and industry together. We have the opportunity to act tomorrow in our vote in this plenary."
3,"Member of the Commission. – Mr President, it is a pleasure to be here today for the debate on the Commission proposal setting CO2 emissions standards for cars and vans for the period up to 2020. This is a key proposal to implement the 2030 climate and energy framework, to continue delivering on our commitments under the Paris Agreement and to contribute to the transition to a low carbon economy. This is not just essential for the climate, but also for Europe’s economic prosperity and global competiveness. With the adoption of the legislative proposals on the 2030 climate and energy framework, thanks to the excellent work of all our institutions, the European Union is turning its global commitments into reality and is determined to continue as a world leader in the fight against climate change. Under the Effort Sharing Regulation the Member States now have binding emission reduction targets up to 2030 in the sectors not included in the European Union Emissions Trading System – that is transport, buildings, agriculture and waste. Now it is time to make sure that at European level we have the right regulatory framework in place to contribute to meeting these targets. With almost a quarter of the European Union’s total greenhouse gas emissions coming from transport, this sector has a vital role to play in this transition. While Europe has reduced its emissions by some 23% since 1990, road transport emissions have grown by about 20% and today, transport accounts for more than 20% of Europe’s total emissions and this continues to grow. The Commission’s legislative proposal setting the new CO2 standards for cars and vans for post-2020 is therefore an essential instrument to address this. Your vote tomorrow is instrumental to allow the adoption of the proposal during the current legislative term and we need to give a clear and stable regulatory signal to industry as soon as possible because this will stimulate the right investments in the transition towards zero emission mobility. I want to thank the rapporteur, Ms Dalli, for her hard work on this proposal, putting together the position of this Parliament, as well as for our constructive discussions and cooperation. I would also like to thank the shadow rapporteurs for their work. I want to underline that the Commission proposal, underpinned by a thorough impact assessment, is both ambitious and realistic. It strikes the right balance between the three main policy objectives that cannot be considered in isolation: firstly, achieving environmental benefits, secondly, bringing savings for consumers and finally, safeguarding employment and competitiveness in the European Union. The Commission proposal allows for a smooth, gradual and realistic transition to zero emission vehicles. The pace of the transition is essential, as the automotive sector is crucial for Europe’s prosperity, providing jobs for 12 million people in manufacturing, sales, maintenance and transport and accounting for 4% of gross domestic product. We need to give sufficient time to achieve this reformation, to undertake the necessary investments and to reskill and upskill the workers in the current automotive supply chain. Our target will have positive impacts on the overall economy. At the same time, the number of jobs will remain stable in the automotive sector. Our proposal will also bring significant environmental benefits. The proposal is projected to reduce greenhouse gas emissions from road transport by around 22% between 2005 and 2030, contributing to our necessary efforts to implement the Paris Agreement. We have already agreed, or proposed, additional policies which will further reduce emissions from this sector, including the recently agreed Renewable Energy Directive, as well as the proposal on CO2 standards for heavy duty vehicles, the revised Eurovignette and the Clean Vehicles and Combined Transport Directives. From the side of consumers, the 30% target will bring significant economic benefits. Consumers will save money – up to EUR 400 for the average new car bought in 2025 and more than EUR 1 400 in 2030. Let me conclude by saying once again that the Commission remains fully supportive of the efforts of Parliament and the Council to conclude positive discussions on this proposal still this year. I look forward to continuing to work with you on the proposal and bringing it to a positive successful conclusion. This is what our citizens, our consumers, our companies and our workers expect from all of us."
4,"The Committee on Transport and Tourism has tabled a number of amendments to the proposal.  Mr President, ladies and gentlemen, transport accounts for more than 20% of CO2 emissions in Europe, and 70% of these emissions come from road transport. As a result, air pollution causes the premature death of 500,000 people in Europe each year. If we don't change, we're going into the wall. To meet the COP 21 targets, emissions would need to be cut by 70% by 2030. There, they propose a 45% reduction by 2030. It is better than the Commission's proposal, but it is far from enough. What do you say? That it's too ambitious. But it's too ambitious for who? For governments, for the auto lobby? I say to you, we, the European Parliament, cannot compromise the climate, the health of our citizens or the 12 million jobs in the automotive sector in Europe that are already threatened by international competition. Clean mobility is not a threat but an opportunity for the health and conversion of the automotive sector."
5,"I am speaking on behalf of the PPE Group. The Commission is not Let me make one thing clear right at the beginning: The question today is not yes or no on climate change. All the proposals we will be voting on tomorrow will help us achieve our climate goals. The question is, what happens if we try to miss the target again? In other words, what do the exaggerated demands of some colleagues mean for consumers, the economy and jobs? The answer is clear: They would be devastating. The Commission has already taken a number of measures to ensure that the Community's energy policy is not undermined by the fact that the Community's energy policy is not in line with the Community's energy policy. The penalties for zero- and low-emission vehicles alone will cost us dearly. The Commission has calculated what the Environment Committee's proposal would mean. The economy would lose €1 450 on the sale of a car, each consumer would have to pay €1 000 more and 60 000 people would lose their jobs. It is often said that new jobs will be created and that people can be re-trained. I have met with trade union and industrial representatives and they have made it quite clear that thousands of jobs will be lost. We have to stop that. It is only in the European Parliament that this message has not yet been received. I am firmly convinced that we can set ambitious targets, protect the climate and at the same time strengthen the competitiveness of our industry and thus safeguard jobs in Europe. We need no ideology, no quotas and no bans, but openness, innovation and technological neutrality. It would be good for the climate, it would be good for the consumer, and it would be good for the workers. The EPP Group made major concessions during the negotiations. Let's vote tomorrow for the 35% target and reject the penalty system for e-car quotas."
6,"on behalf of the S&D Group. – Mr President, this is an absolutely crucial file and that’s why, Mr Commissioner, we need more ambition than the Commission proposal offers – to make sure that we can get our climate goals, but also to make sure that we can reduce the cost for consumers and improve the air quality in our Member States. Some, like Mr Gieseke, argue that increased ambition will lead to a loss of jobs. Well, it’s not the case. The Commission’s own impact assessment states that with a 40% reduction, total EU employment will increase by 69 000 to 92 000 jobs. In any case, colleagues, regardless of electrification, if you look at what will go on in the sector on everything that is to do with automation and digitalisation, fundamental changes need to occur in the sector. That’s why I am so proud that, under the leadership of Ms Dalli, there are many issues on just transition within the proposal of the Committee on Environment, Public Health and Food Safety (ENVI) that we should all support. What workers should be really be afraid of is that we lose out in the automotive sector; we lose our leadership on technology. Ms Dalli mentioned it already. Why are European car manufacturers making so much effort in China to make electric cars and not do so within Europe? What do we want? To be left with all technology that is killing our people because of the effect on climate and air quality? That’s why we need to have ambition. It’s encouraging to see that not just in the progressive forces in this Parliament, but also in the Council, there’s an increasing amount of membership that wants to improve the targets in this regulation. That’s why I’m really saddened that Ms Merkel, whom I respect a lot and who used to be a climate Chancellor, will now miss her national climate targets by 2020 and 2030 by putting the brakes on this ambitious legislation. So please, let’s vote tomorrow on the ENVI proposal."
7,"The Commission is also proposing to extend the scope of the directive to include the use of the term 'competent authority' to cover all the activities of the European Parliament. We support at least 40% less CO2 and 40% new green cars by 2030. This is indeed essential in the fight against climate change, but also for the air quality in our cities and our municipalities. And when you put your proposal to the vote last year, I did not hide my disappointment in the Chamber, and I stand by my position: weak CO2 standards are undermining climate goals. My own Member State must reduce its CO2 emissions by 35% by 2030. Without the necessary technology to reduce CO2 at source, this will not be possible and we fully support the demand for a technology-neutral greening of the new fleet. This is an important link in attracting investment, in stimulating innovation and in improving air quality. Our citizens have a right to clean air. If the European Union is to compete with China, our manufacturers must offer a sufficient number of low- and zero-emission cars. We need to invest in that, not in some bogus software to circumvent the standards. I hope we've learned our lesson after dieselgate."
8,"on behalf of the ALDE Group. – Mr President, after the COP21 meeting in Paris, we decided that we were going to stand for these principles, and therefore we created a framework which consisted of emissions trading, effort sharing and LUCF. That is the framework. When you speak about effort sharing, we know that effort sharing is also already included in a social manner; that Finland has 39%, Sweden has 40%, Denmark about 40%, and Bulgaria 0%. We took into account the different possibilities of the different countries. That, I think, is fair. What we are now doing is trying to take a further step, and this step, if you look at the figures, is very important. If we fail in transport, then transport will kick back on effort sharing, on agriculture and on the budgets of the Member States if they are not able to reach the goals. That is what we are actually now deciding on; we are deciding on the way in which we will go forward. Therefore, if you look at the figures, transport is the only part of CO2 that is rising. All the other curves are going down, but transport is rising. We have to take measures, and the only way you can take measures is to have clear—cut and ambitious goals; that’s the 40%. We also have to fix all the other things, and remember that when we speak about efforts sharing, it is running until 2030. To be able to look at effort sharing, we need something in between. That is 2025, which is in this year, so there is just one way to go, and that is forward."
9,"The Commission is therefore proposing to extend the period of validity of the directive to the period of 1 January 1999. The Commission is not Commissioner Caňete, you have said that the European Commission is working seriously and ambitiously to implement the Paris Agreement. I have to tell you, I can't see it. You just said last week that you're not going to align the European Union's overall climate target with the Paris Agreement as intended - so three years after Paris. The EU Commission has failed to adapt its own climate targets and is heading to Katowice without an adapted target. So it is not at all surprising that you are not ambitious in this important area of legislation we are discussing today. Their own experts have told them that a CO2 reduction target for the automotive industry must be at least 60% by 2030. They have proposed 30% by 2030. So far, the recommendations of science and the proposals of the Commission have never diverged in the time that I have been here advising on climate policy. I should also like to thank the rapporteur, Mrs Dalli, who has really achieved something good with the compromise we have found in the Committee on the Environment. But this compromise must at least be defended now, so that we can be seen if we want to represent something good in the international debate from this House. The auto industry, along with some governments, is on the brakes. This is not surprising, it has a system, we have seen it many times. But the trade unions, Mr Gieseke, are discussing something else. We have heard from the unions that they know very well that our industry will be dependent on international markets unless we are ambitious and committed to innovation, climate protection and environmentally friendly cars. The workplace argument has been very important all along. And I want to tell you: I have rarely seen such a manipulative use of numbers in a debate as this one, as in the last few weeks. It is unconscionable to operate on figures of job losses that occur when we are discussing reduction targets such as 80% by 2030. I would like to ask the Commissioner whether he is aware of the fact that the Commission has not yet taken a decision on the matter. The job losses that will affect industry in the European Union in the foreseeable future will be generated by digitisation and productivity gains, as always. And there is no interference from you at all, Mr Gieseke. Panic over climate change, that's what you're doing, and that's what's going to end up taking over the European markets by Chinese manufacturers. (The speaker agrees to answer a question under the 'blue card' procedure under Rule 162 (8) of the Rules of Procedure)"
10,"The Commission has also proposed that the Council should adopt a decision on the application of the 'blue card' procedure. Mr President, I would like to thank Mrs Harms for her report. You have criticised the Commissioner for not having proposed to raise the 40% target. I was at the climate conference in Bonn last year, and I systematically asked all the partners we talked to, is there any debate in the other countries -- the United States, let's leave it out -- but in Japan, Russia, South America, Brazil? There is no debate anywhere. And do you not think that, before we criticise the Commissioner, who has already outlined a way forward, we should do more to involve other countries in this debate?"
